期別,開獎日期,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,特別號
115001,2026-01-02,3,7,16,19,40,42,12
115002,2026-01-06,2,23,33,38,39,45,6
115003,2026-01-09,1,7,13,14,34,45,8
115004,2026-01-13,2,10,18,19,39,49,24
115005,2026-01-16,9,10,21,22,25,36,20
115006,2026-01-20,2,7,26,41,44,45,46
115007,2026-01-23,21,23,32,36,39,43,12
115008,2026-01-27,4,11,24,25,29,30,8
115009,2026-01-30,9,13,27,31,32,39,19
115020,2026-02-19,20,28,29,31,35,41,6
115021,2026-02-20,13,15,18,24,33,49,10
115022,2026-02-21,12,13,17,27,41,48,46
115023,2026-02-22,5,7,17,22,24,47,20
115024,2026-02-23,6,10,23,27,47,48,30
115025,2026-02-24,12,19,22,27,28,31,45
115026,2026-02-25,7,15,22,38,45,49,31
115027,2026-02-26,1,16,22,24,47,48,7
115028,2026-02-27,14,18,19,34,45,47,48
115029,2026-02-28,17,23,30,37,39,49,43
115031,2026-03-02,19,25,27,28,33,39,37
115032,2026-03-03,5,26,27,35,45,46,37
115033,2026-03-06,9,11,12,14,23,25,42
115034,2026-03-10,5,11,29,37,43,47,10
115035,2026-03-13,5,12,13,38,47,48,3
115036,2026-03-17,2,6,10,22,40,45,17
115037,2026-03-20,11,15,33,38,41,43,21
115038,2026-03-24,14,33,41,42,44,48,47
115039,2026-03-27,4,8,23,26,29,36,38
115040,2026-03-31,5,11,25,40,45,47,39
115041,2026-04-03,5,12,13,25,36,48,8
115042,2026-04-07,1,2,6,16,18,26,47
115043,2026-04-10,4,10,15,17,21,40,30
115044,2026-04-14,4,8,21,23,24,43,13
115045,2026-04-17,7,10,11,22,40,45,18
115046,2026-04-21,1,6,17,19,20,40,22
115047,2026-04-24,7,14,16,37,39,47,34
115048,2026-04-28,6,10,14,25,26,32,7
115049,2026-05-01,7,22,27,35,43,48,45
115050,2026-05-05,4,17,23,28,33,37,15
115051,2026-05-08,10,18,25,28,39,43,48
115052,2026-05-12,6,12,18,19,32,36,34
115053,2026-05-15,16,29,30,35,42,43,1
115054,2026-05-19,4,20,22,26,38,47,27
115055,2026-05-22,12,13,16,21,28,48,30
115056,2026-05-26,3,27,29,37,47,48,11
115057,2026-05-29,20,26,29,31,37,49,30
115058,2026-06-02,8,9,16,20,37,49,2
115059,2026-06-05,12,14,25,30,32,44,34
115060,2026-06-09,13,18,25,39,40,46,31
115061,2026-06-12,1,6,16,20,34,49,3
115062,2026-06-16,1,2,9,11,28,36,41
115063,2026-06-19,4,12,28,29,35,48,38
115064,2026-06-23,12,18,29,33,34,39,30
115065,2026-06-26,11,19,23,24,29,41,1
115066,2026-06-30,4,10,16,29,36,45,14
115067,2026-07-03,11,16,19,23,39,47,15
115068,2026-07-07,8,13,15,18,19,42,37
115069,2026-07-10,3,4,15,18,29,49,13
115070,2026-07-14,10,25,34,36,45,46,7
115071,2026-07-17,1,6,12,14,17,26,24
115072,2026-07-21,2,8,15,26,35,46,11
115073,2026-07-24,3,15,27,34,35,44,40
